benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,dce,8
gebmm,baseline,3011
gebmm,dce,3011
mod_inv,baseline,558
mod_inv,dce,555
delannoy,baseline,5748752
delannoy,dce,5748751
fizz-buzz,baseline,3652
fizz-buzz,dce,3552
mccarthy91,baseline,1385
mccarthy91,dce,1385
orders,baseline,5352
orders,dce,5352
hanoi,baseline,99
hanoi,dce,99
sum-to-ten,baseline,143
sum-to-ten,dce,142
rot13,baseline,8
rot13,dce,8
sum-digits,baseline,219
sum-digits,dce,218
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61518
fact,baseline,229
fact,dce,228
check-primes,baseline,8468
check-primes,dce,8419
totient,baseline,253
totient,dce,253
mod_pow,baseline,243
mod_pow,dce,243
lcm,baseline,2326
lcm,dce,2326
reverse,baseline,46
reverse,dce,46
bin-search,baseline,358
bin-search,dce,357
binary-fmt,baseline,100
binary-fmt,dce,100
sum-sq-diff,baseline,3038
sum-sq-diff,dce,3036
relative-primes,baseline,1923
relative-primes,dce,1914
fib_recursive,baseline,2693
fib_recursive,dce,2693
combination,baseline,178
combination,dce,178
sum-bits,baseline,73
sum-bits,dce,73
pascals-row,baseline,146
pascals-row,dce,139
palindrome,baseline,298
palindrome,dce,298
sum-check,baseline,5018
sum-check,dce,5018
bitshift,baseline,167
bitshift,dce,167
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,14
factors,baseline,72
factors,dce,72
bbs,baseline,137
bbs,dce,137
geometric-sum,baseline,35
geometric-sum,dce,35
karatsuba,baseline,1548
karatsuba,dce,1548
euclid,baseline,563
euclid,dce,562
quadratic,baseline,785
quadratic,dce,783
digital-root,baseline,247
digital-root,dce,247
hamming,baseline,117
hamming,dce,117
systolic,baseline,527
systolic,dce,523
is-decreasing,baseline,127
is-decreasing,dce,127
recfact,baseline,104
recfact,dce,103
gcd,baseline,46
gcd,dce,46
fitsinside,baseline,10
fitsinside,dce,10
armstrong,baseline,133
armstrong,dce,130
bitwise-ops,baseline,1690
bitwise-ops,dce,1689
catalan,baseline,659378
catalan,dce,659378
primes-between,baseline,574100
primes-between,dce,574100
sqrt_bin_search,baseline,744
sqrt_bin_search,dce,718
loopfact,baseline,116
loopfact,dce,115
sum-divisors,baseline,159
sum-divisors,dce,159
up-arrow,baseline,252
up-arrow,dce,252
perfect,baseline,232
perfect,dce,232
binpow,baseline,105
binpow,dce,105
permutation,baseline,130
permutation,dce,129
collatz,baseline,169
collatz,dce,169
dayofweek,baseline,269
dayofweek,dce,268
add,baseline,4
add,dce,4
ackermann,baseline,1464231
ackermann,dce,1464231
montgomery,baseline,17
montgomery,dce,17
