benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,lvndce,8
gebmm,baseline,3011
gebmm,lvndce,3011
mod_inv,baseline,558
mod_inv,lvndce,470
delannoy,baseline,5748752
delannoy,lvndce,4552974
fizz-buzz,baseline,3652
fizz-buzz,lvndce,2552
mccarthy91,baseline,1385
mccarthy91,lvndce,1385
orders,baseline,5352
orders,lvndce,5352
hanoi,baseline,99
hanoi,lvndce,99
sum-to-ten,baseline,143
sum-to-ten,lvndce,132
rot13,baseline,8
rot13,lvndce,8
sum-digits,baseline,219
sum-digits,lvndce,148
pythagorean_triple,baseline,61518
pythagorean_triple,lvndce,61518
fact,baseline,229
fact,lvndce,208
check-primes,baseline,8468
check-primes,lvndce,6674
totient,baseline,253
totient,lvndce,253
mod_pow,baseline,243
mod_pow,lvndce,204
lcm,baseline,2326
lcm,lvndce,2326
reverse,baseline,46
reverse,lvndce,46
bin-search,baseline,358
bin-search,lvndce,325
binary-fmt,baseline,100
binary-fmt,lvndce,100
sum-sq-diff,baseline,3038
sum-sq-diff,lvndce,2528
relative-primes,baseline,1923
relative-primes,lvndce,1757
fib_recursive,baseline,2693
fib_recursive,lvndce,2429
combination,baseline,178
combination,lvndce,178
sum-bits,baseline,73
sum-bits,lvndce,73
pascals-row,baseline,146
pascals-row,lvndce,91
palindrome,baseline,298
palindrome,lvndce,298
sum-check,baseline,5018
sum-check,lvndce,5018
bitshift,baseline,167
bitshift,lvndce,141
rectangles-area-difference,baseline,14
rectangles-area-difference,lvndce,14
factors,baseline,72
factors,lvndce,72
bbs,baseline,137
bbs,lvndce,137
geometric-sum,baseline,35
geometric-sum,lvndce,35
karatsuba,baseline,1548
karatsuba,lvndce,1548
euclid,baseline,563
euclid,lvndce,375
quadratic,baseline,785
quadratic,lvndce,723
digital-root,baseline,247
digital-root,lvndce,247
hamming,baseline,117
hamming,lvndce,117
systolic,baseline,527
systolic,lvndce,523
is-decreasing,baseline,127
is-decreasing,lvndce,121
recfact,baseline,104
recfact,lvndce,80
gcd,baseline,46
gcd,lvndce,46
fitsinside,baseline,10
fitsinside,lvndce,10
armstrong,baseline,133
armstrong,lvndce,130
bitwise-ops,baseline,1690
bitwise-ops,lvndce,1689
catalan,baseline,659378
catalan,lvndce,659378
primes-between,baseline,574100
primes-between,lvndce,574100
sqrt_bin_search,baseline,744
sqrt_bin_search,lvndce,516
loopfact,baseline,116
loopfact,lvndce,106
sum-divisors,baseline,159
sum-divisors,lvndce,159
up-arrow,baseline,252
up-arrow,lvndce,252
perfect,baseline,232
perfect,lvndce,232
binpow,baseline,105
binpow,lvndce,105
permutation,baseline,130
permutation,lvndce,120
collatz,baseline,169
collatz,lvndce,169
dayofweek,baseline,269
dayofweek,lvndce,215
add,baseline,4
add,lvndce,4
ackermann,baseline,1464231
ackermann,lvndce,1464231
montgomery,baseline,17
montgomery,lvndce,17
