benchmark,run,result
reverse,baseline,46
reverse,myopt,46
totient,baseline,253
totient,myopt,253
binary-fmt,baseline,100
binary-fmt,myopt,100
euclid,baseline,563
euclid,myopt,563
delannoy,baseline,timeout
delannoy,myopt,timeout
sum-bits,baseline,73
sum-bits,myopt,73
relative-primes,baseline,1923
relative-primes,myopt,1923
quadratic,baseline,785
quadratic,myopt,785
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
karatsuba,baseline,1548
karatsuba,myopt,1548
digital-root,baseline,247
digital-root,myopt,247
sum-divisors,baseline,159
sum-divisors,myopt,159
bitshift,baseline,167
bitshift,myopt,167
perfect,baseline,232
perfect,myopt,232
fitsinside,baseline,10
fitsinside,myopt,10
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
gcd,baseline,46
gcd,myopt,46
pascals-row,baseline,146
pascals-row,myopt,146
fib_recursive,baseline,2693
fib_recursive,myopt,2693
mccarthy91,baseline,1385
mccarthy91,myopt,1385
montgomery,baseline,17
montgomery,myopt,17
rot13,baseline,8
rot13,myopt,8
up-arrow,baseline,252
up-arrow,myopt,252
bin-search,baseline,358
bin-search,myopt,358
hanoi,baseline,99
hanoi,myopt,99
systolic,baseline,527
systolic,myopt,527
binpow,baseline,105
binpow,myopt,105
dayofweek,baseline,269
dayofweek,myopt,269
is-decreasing,baseline,127
is-decreasing,myopt,127
fizz-buzz,baseline,3652
fizz-buzz,myopt,3652
bbs,baseline,137
bbs,myopt,137
bitwise-ops,baseline,1690
bitwise-ops,myopt,1690
armstrong,baseline,133
armstrong,myopt,133
primes-between,baseline,574100
primes-between,myopt,574100
combination,baseline,178
combination,myopt,178
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,744
sum-check,baseline,5018
sum-check,myopt,5018
check-primes,baseline,8468
check-primes,myopt,8468
mod_pow,baseline,243
mod_pow,myopt,243
hamming,baseline,117
hamming,myopt,117
fact,baseline,229
fact,myopt,229
loopfact,baseline,116
loopfact,myopt,116
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3038
add,baseline,4
add,myopt,4
recfact,baseline,104
recfact,myopt,104
geometric-sum,baseline,35
geometric-sum,myopt,35
ackermann,baseline,1464231
ackermann,myopt,1464231
factors,baseline,72
factors,myopt,72
sum-of-cubes,baseline,8
sum-of-cubes,myopt,8
collatz,baseline,169
collatz,myopt,169
lcm,baseline,2326
lcm,myopt,2326
orders,baseline,5352
orders,myopt,5352
sum-digits,baseline,219
sum-digits,myopt,219
sum-to-ten,baseline,143
sum-to-ten,myopt,143
mod_inv,baseline,558
mod_inv,myopt,558
catalan,baseline,659378
catalan,myopt,659378
palindrome,baseline,298
palindrome,myopt,298
gebmm,baseline,3011
gebmm,myopt,3011
permutation,baseline,130
permutation,myopt,130
