benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,dce,incorrect
gebmm,baseline,3011
gebmm,dce,incorrect
mod_inv,baseline,558
mod_inv,dce,incorrect
delannoy,baseline,5748752
delannoy,dce,incorrect
fizz-buzz,baseline,3652
fizz-buzz,dce,incorrect
mccarthy91,baseline,1385
mccarthy91,dce,incorrect
orders,baseline,5352
orders,dce,incorrect
hanoi,baseline,99
hanoi,dce,incorrect
sum-to-ten,baseline,143
sum-to-ten,dce,142
rot13,baseline,8
rot13,dce,incorrect
sum-digits,baseline,219
sum-digits,dce,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,dce,incorrect
fact,baseline,229
fact,dce,incorrect
check-primes,baseline,8468
check-primes,dce,incorrect
totient,baseline,253
totient,dce,incorrect
mod_pow,baseline,243
mod_pow,dce,incorrect
lcm,baseline,2326
lcm,dce,incorrect
reverse,baseline,46
reverse,dce,incorrect
bin-search,baseline,358
bin-search,dce,incorrect
binary-fmt,baseline,100
binary-fmt,dce,incorrect
sum-sq-diff,baseline,3038
sum-sq-diff,dce,incorrect
relative-primes,baseline,1923
relative-primes,dce,incorrect
fib_recursive,baseline,2693
fib_recursive,dce,incorrect
combination,baseline,178
combination,dce,incorrect
sum-bits,baseline,73
sum-bits,dce,incorrect
pascals-row,baseline,146
pascals-row,dce,incorrect
palindrome,baseline,298
palindrome,dce,incorrect
sum-check,baseline,5018
sum-check,dce,incorrect
bitshift,baseline,167
bitshift,dce,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,incorrect
factors,baseline,72
factors,dce,incorrect
bbs,baseline,137
bbs,dce,incorrect
geometric-sum,baseline,35
geometric-sum,dce,incorrect
karatsuba,baseline,1548
karatsuba,dce,incorrect
euclid,baseline,563
euclid,dce,incorrect
quadratic,baseline,785
quadratic,dce,incorrect
digital-root,baseline,247
digital-root,dce,incorrect
hamming,baseline,117
hamming,dce,incorrect
systolic,baseline,527
systolic,dce,incorrect
is-decreasing,baseline,127
is-decreasing,dce,incorrect
recfact,baseline,104
recfact,dce,incorrect
gcd,baseline,46
gcd,dce,incorrect
fitsinside,baseline,10
fitsinside,dce,incorrect
armstrong,baseline,133
armstrong,dce,incorrect
bitwise-ops,baseline,1690
bitwise-ops,dce,incorrect
catalan,baseline,659378
catalan,dce,incorrect
primes-between,baseline,574100
primes-between,dce,incorrect
sqrt_bin_search,baseline,744
sqrt_bin_search,dce,incorrect
loopfact,baseline,116
loopfact,dce,incorrect
sum-divisors,baseline,159
sum-divisors,dce,incorrect
up-arrow,baseline,252
up-arrow,dce,incorrect
perfect,baseline,232
perfect,dce,incorrect
binpow,baseline,105
binpow,dce,incorrect
permutation,baseline,130
permutation,dce,incorrect
collatz,baseline,169
collatz,dce,incorrect
dayofweek,baseline,269
dayofweek,dce,incorrect
add,baseline,4
add,dce,4
ackermann,baseline,1464231
ackermann,dce,incorrect
montgomery,baseline,17
montgomery,dce,incorrect
